"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","7","8","0","13","9","5.5","0.87","11.722","9.166","35.907","18.781"
"1","7","9","1","96","11","6.3","0.87","95.274","12.24","325.343","297.961"
"1","7","10","47","150","11","6.4","0.87","197.361","13.544","690.769","650.438"
"1","7","11","0","137","12","6.4","0.87","132.298","13.701","452.261","420.382"
"1","7","12","113","192","13","6.5","0.87","318.844","17.067","1115.164","1059.795"
"1","7","13","487","128","14","6.4","0.87","558.297","21.224","1966.833","1881.286"
"1","7","14","80","130","13","5.4","0.87","195.732","15.83","682.299","642.268"
"1","7","15","0","34","10","3.6","0.87","30.746","10.564","99.939","80.543"
"1","7","16","0","28","7","2.1","0.87","31.72","7.655","69.71","51.385"
"1","7","17","0","0","6","1.5","0.87","0","6","0","0"
"1","7","18","0","0","5","1.1","0.87","0","5","0","0"
"1","7","19","0","0","5","0.9","0.87","0","5","0","0"
"1","7","20","0","0","4","1","0.87","0","4","0","0"
"1","7","21","0","0","4","1.2","0.87","0","4","0","0"
"1","7","22","0","0","3","1.9","0.87","0","3","0","0"
"1","7","23","0","0","2","2.6","0.87","0","2","0","0"
"1","8","0","0","0","1","2.3","0.87","0","1","0","0"
"1","8","1","0","0","1","1.3","0.87","0","1","0","0"
"1","8","2","0","0","1","0.7","0.87","0","1","0","0"
"1","8","3","0","0","0","1.4","0.87","0","0","0","0"
"1","8","4","0","0","0","2.6","0.87","0","0","0","0"
"1","8","5","0","0","0","2.8","0.87","0","0","0","0"
"1","8","6","0","0","0","2.7","0.87","0","0","0","0"
"1","8","7","0","0","0","3.3","0.87","0","0","0","0"
"1","8","8","0","6","0","3.6","0.87","5.403","0.098","16.689","0.244"
"1","8","9","0","24","1","3.9","0.87","21.673","1.381","72.9","54.462"
"1","8","10","0","125","1","4","0.87","121.565","3.105","433.149","401.947"
"1","8","11","0","79","2","4.1","0.87","71.712","3.223","249.707","225.004"
"1","8","12","0","81","2","4.5","0.87","73.6","3.188","256.383","231.444"
"1","8","13","13","148","2","5.2","0.87","156.261","4.308","558.986","523.325"
"1","8","14","0","22","1","5.5","0.87","19.868","1.283","66.648","48.432"
"1","8","15","0","10","0","5.2","0.87","9.013","0.133","29.123","12.236"
"1","8","16","0","1","0","5.1","0.87","0.899","0.012","0","0"
"1","8","17","0","0","0","5.6","0.87","0","0","0","0"
"1","8","18","0","0","0","6.1","0.87","0","0","0","0"
"1","8","19","0","0","0","6.2","0.87","0","0","0","0"
"1","8","20","0","0","-1","5.9","0.87","0","-1","0","0"
"1","8","21","0","0","-2","5.5","0.87","0","-2","0","0"
"1","8","22","0","0","-2","5","0.87","0","-2","0","0"
"1","8","23","0","0","-3","4.6","0.87","0","-3","0","0"
"1","9","0","0","0","-3","4.2","0.87","0","-3","0","0"
"1","9","1","0","0","-4","3.5","0.87","0","-4","0","0"
"1","9","2","0","0","-4","2.9","0.87","0","-4","0","0"
"1","9","3","0","0","-5","2.5","0.87","0","-5","0","0"
"1","9","4","0","0","-5","2.2","0.87","0","-5","0","0"
"1","9","5","0","0","-4","1.8","0.87","0","-4","0","0"
"1","9","6","0","0","-4","1.7","0.87","0","-4","0","0"
"1","9","7","0","0","-3","2","0.87","0","-3","0","0"
"1","9","8","390","40","-1","2.1","0.87","204.976","3.856","722.058","680.618"
"1","9","9","383","90","0","2.1","0.87","361.263","8.669","1329.089","1266.14"
"1","9","10","224","154","0","2.1","0.87","359.858","8.617","1313.65","1251.248"
"1","9","11","560","126","0","2","0.87","636.113","15.556","2286.782","2189.898"
"1","9","12","124","194","1","2","0.87","330.478","9.054","1191.759","1133.676"
"1","9","13","213","171","1","2.1","0.87","367.764","9.801","1334.1","1270.973"
"1","9","14","295","122","0","1.9","0.87","353.813","8.834","1296.777","1234.973"
"1","9","15","116","77","0","1.7","0.87","152.201","3.95","548.603","513.31"
"1","9","16","0","18","0","2","0.87","16.779","0.353","36.994","19.829"
"1","9","17","0","0","0","2.5","0.87","0","0","0","0"
"1","9","18","0","0","0","3","0.87","0","0","0","0"
"1","9","19","0","0","0","3.3","0.87","0","0","0","0"
"1","9","20","0","0","0","3.3","0.87","0","0","0","0"
"1","9","21","0","0","-1","3.1","0.87","0","-1","0","0"
"1","9","22","0","0","-1","3.1","0.87","0","-1","0","0"
"1","9","23","0","0","-1","3.2","0.87","0","-1","0","0"
"1","10","0","0","0","-1","3.1","0.87","0","-1","0","0"
"1","10","1","0","0","-1","3.3","0.87","0","-1","0","0"
"1","10","2","0","0","0","3.5","0.87","0","0","0","0"
"1","10","3","0","0","0","3.7","0.87","0","0","0","0"
"1","10","4","0","0","0","3.7","0.87","0","0","0","0"
"1","10","5","0","0","0","3.3","0.87","0","0","0","0"
"1","10","6","0","0","-1","3.3","0.87","0","-1","0","0"
"1","10","7","0","0","0","4","0.87","0","0","0","0"
"1","10","8","410","50","0","4.3","0.87","222.296","3.667","785.509","741.821"
"1","10","9","90","111","1","4","0.87","185.759","4.228","676.082","636.272"
"1","10","10","26","149","2","3.5","0.87","168.535","5.149","604.319","567.051"
