"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","9.46"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","7","8","0","13","9","5.5","0.87","12.732","9.18","39.164","21.922"
"1","7","9","1","96","11","6.3","0.87","97.264","12.266","332.123","304.5"
"1","7","10","47","150","11","6.4","0.87","180.125","13.321","627.539","589.449"
"1","7","11","0","137","12","6.4","0.87","137.29","13.765","469.693","437.196"
"1","7","12","113","192","13","6.5","0.87","271.525","16.461","945.808","896.44"
"1","7","13","487","128","14","6.4","0.87","407.618","19.273","1439.343","1372.487"
"1","7","14","80","130","13","5.4","0.87","171.47","15.474","591.25","554.445"
"1","7","15","0","34","10","3.6","0.87","33.33","10.611","108.734","89.026"
"1","7","16","0","28","7","2.1","0.87","28.96","7.598","63.302","45.205"
"1","7","17","0","0","6","1.5","0.87","0","6","0","0"
"1","7","18","0","0","5","1.1","0.87","0","5","0","0"
"1","7","19","0","0","5","0.9","0.87","0","5","0","0"
"1","7","20","0","0","4","1","0.87","0","4","0","0"
"1","7","21","0","0","4","1.2","0.87","0","4","0","0"
"1","7","22","0","0","3","1.9","0.87","0","3","0","0"
"1","7","23","0","0","2","2.6","0.87","0","2","0","0"
"1","8","0","0","0","1","2.3","0.87","0","1","0","0"
"1","8","1","0","0","1","1.3","0.87","0","1","0","0"
"1","8","2","0","0","1","0.7","0.87","0","1","0","0"
"1","8","3","0","0","0","1.4","0.87","0","0","0","0"
"1","8","4","0","0","0","2.6","0.87","0","0","0","0"
"1","8","5","0","0","0","2.8","0.87","0","0","0","0"
"1","8","6","0","0","0","2.7","0.87","0","0","0","0"
"1","8","7","0","0","0","3.3","0.87","0","0","0","0"
"1","8","8","0","6","0","3.6","0.87","5.874","0.107","18.219","1.719"
"1","8","9","0","24","1","3.9","0.87","23.517","1.413","79.385","60.718"
"1","8","10","0","125","1","4","0.87","125.56","3.175","447.6","415.885"
"1","8","11","0","79","2","4.1","0.87","77.537","3.323","270.742","245.294"
"1","8","12","0","81","2","4.5","0.87","79.526","3.283","277.788","252.09"
"1","8","13","13","148","2","5.2","0.87","156.409","4.309","558.978","523.317"
"1","8","14","0","22","1","5.5","0.87","21.558","1.307","72.579","54.153"
"1","8","15","0","10","0","5.2","0.87","9.793","0.144","31.766","14.786"
"1","8","16","0","1","0","5.1","0.87","0.978","0.013","0","0"
"1","8","17","0","0","0","5.6","0.87","0","0","0","0"
"1","8","18","0","0","0","6.1","0.87","0","0","0","0"
"1","8","19","0","0","0","6.2","0.87","0","0","0","0"
"1","8","20","0","0","-1","5.9","0.87","0","-1","0","0"
"1","8","21","0","0","-2","5.5","0.87","0","-2","0","0"
"1","8","22","0","0","-2","5","0.87","0","-2","0","0"
"1","8","23","0","0","-3","4.6","0.87","0","-3","0","0"
"1","9","0","0","0","-3","4.2","0.87","0","-3","0","0"
